z, Electric Field (Newton/Coulomb)
0.02 , -50000
0.01999 , -50000
0.01998 , -50000
0.01997 , -50000
0.01996 , -50000
0.01995 , -50000
0.01994 , -50000
0.01993 , -50000
0.01992 , -50000
0.01991 , -50000
0.0199 , -50000
0.01989 , -50000
0.01988 , -50000
0.01987 , -50000
0.01986 , -50000
0.01985 , -50000
0.01984 , -50000
0.01983 , -50000
0.01982 , -50000
0.01981 , -50000
0.0198 , -50000
0.01979 , -50000
0.01978 , -50000
0.01977 , -50000
0.01976 , -50000
0.01975 , -50000
0.01974 , -50000
0.01973 , -50000
0.01972 , -50000
0.01971 , -50000
0.0197 , -50000
0.01969 , -50000
0.01968 , -50000
0.01967 , -50000
0.01966 , -50000
0.01965 , -50000
0.01964 , -50000
0.01963 , -50000
0.01962 , -50000
0.01961 , -50000
0.0196 , -50000
0.01959 , -50000
0.01958 , -50000
0.01957 , -50000
0.01956 , -50000
0.01955 , -50000
0.01954 , -50000
0.01953 , -50000
0.01952 , -50000
0.01951 , -50000
0.0195 , -50000
0.01949 , -50000
0.01948 , -50000
0.01947 , -50000
0.01946 , -50000
0.01945 , -50000
0.01944 , -50000
0.01943 , -50000
0.01942 , -50000
0.01941 , -50000
0.0194 , -50000
0.01939 , -50000
0.01938 , -50000
0.01937 , -50000
0.01936 , -50000
0.01935 , -50000
0.01934 , -50000
0.01933 , -50000
0.01932 , -50000
0.01931 , -50000
0.0193 , -50000
0.01929 , -50000
0.01928 , -50000
0.01927 , -50000
0.01926 , -50000
0.01925 , -50000
0.01924 , -50000
0.01923 , -50000
0.01922 , -50000
0.01921 , -50000
0.0192 , -50000
0.01919 , -50000
0.01918 , -50000
0.01917 , -50000
0.01916 , -50000
0.01915 , -50000
0.01914 , -50000
0.01913 , -50000
0.01912 , -50000
0.01911 , -50000
0.0191 , -50000
0.01909 , -50000
0.01908 , -50000
0.01907 , -50000
0.01906 , -50000
0.01905 , -50000
0.01904 , -50000
0.01903 , -50000
0.01902 , -50000
0.01901 , -50000
0.019 , -50000
0.01899 , -50000
0.01898 , -50000
0.01897 , -50000
0.01896 , -50000
0.01895 , -50000
0.01894 , -50000
0.01893 , -50000
0.01892 , -50000
0.01891 , -50000
0.0189 , -50000
0.01889 , -50000
0.01888 , -50000
0.01887 , -50000
0.01886 , -50000
0.01885 , -50000
0.01884 , -50000
0.01883 , -50000
0.01882 , -50000
0.01881 , -50000
0.0188 , -50000
0.01879 , -50000
0.01878 , -50000
0.01877 , -50000
0.01876 , -50000
0.01875 , -50000
0.01874 , -50000
0.01873 , -50000
0.01872 , -50000
0.01871 , -50000
0.0187 , -50000
0.01869 , -50000
0.01868 , -50000
0.01867 , -50000
0.01866 , -50000
0.01865 , -50000
0.01864 , -50000
0.01863 , -50000
0.01862 , -50000
0.01861 , -50000
0.0186 , -50000
0.01859 , -50000
0.01858 , -50000
0.01857 , -50000
0.01856 , -50000
0.01855 , -50000
0.01854 , -50000
0.01853 , -50000
0.01852 , -50000
0.01851 , -50000
0.0185 , -50000
0.01849 , -50000
0.01848 , -50000
0.01847 , -50000
0.01846 , -50000
0.01845 , -50000
0.01844 , -50000
0.01843 , -50000
0.01842 , -50000
0.01841 , -50000
0.0184 , -50000
0.01839 , -50000
0.01838 , -50000
0.01837 , -50000
0.01836 , -50000
0.01835 , -50000
0.01834 , -50000
0.01833 , -50000
0.01832 , -50000
0.01831 , -50000
0.0183 , -50000
0.01829 , -50000
0.01828 , -50000
0.01827 , -50000
0.01826 , -50000
0.01825 , -50000
0.01824 , -50000
0.01823 , -50000
0.01822 , -50000
0.01821 , -50000
0.0182 , -50000
0.01819 , -50000
0.01818 , -50000
0.01817 , -50000
0.01816 , -50000
0.01815 , -50000
0.01814 , -50000
0.01813 , -50000
0.01812 , -50000
0.01811 , -50000
0.0181 , -50000
0.01809 , -50000
0.01808 , -50000
0.01807 , -50000
0.01806 , -50000
0.01805 , -50000
0.01804 , -50000
0.01803 , -50000
0.01802 , -50000
0.01801 , -50000
0.018 , -50000
0.01799 , -50000
0.01798 , -50000
0.01797 , -50000
0.01796 , -50000
0.01795 , -50000
0.01794 , -50000
0.01793 , -50000
0.01792 , -50000
0.01791 , -50000
0.0179 , -50000
0.01789 , -50000
0.01788 , -50000
0.01787 , -50000
0.01786 , -50000
0.01785 , -50000
0.01784 , -50000
0.01783 , -50000
0.01782 , -50000
0.01781 , -50000
0.0178 , -50000
0.01779 , -50000
0.01778 , -50000
0.01777 , -50000
0.01776 , -50000
0.01775 , -50000
0.01774 , -50000
0.01773 , -50000
0.01772 , -50000
0.01771 , -50000
0.0177 , -50000
0.01769 , -50000
0.01768 , -50000
0.01767 , -50000
0.01766 , -50000
0.01765 , -50000
0.01764 , -50000
0.01763 , -50000
0.01762 , -50000
0.01761 , -50000
0.0176 , -50000
0.01759 , -50000
0.01758 , -50000
0.01757 , -50000
0.01756 , -50000
0.01755 , -50000
0.01754 , -50000
0.01753 , -50000
0.01752 , -50000
0.01751 , -50000
0.0175 , -50000
0.01749 , -50000
0.01748 , -50000
0.01747 , -50000
0.01746 , -50000
0.01745 , -50000
0.01744 , -50000
0.01743 , -50000
0.01742 , -50000
0.01741 , -50000
0.0174 , -50000
0.01739 , -50000
0.01738 , -50000
0.01737 , -50000
0.01736 , -50000
0.01735 , -50000
0.01734 , -50000
0.01733 , -50000
0.01732 , -50000
0.01731 , -50000
0.0173 , -50000
0.01729 , -50000
0.01728 , -50000
0.01727 , -50000
0.01726 , -50000
0.01725 , -50000
0.01724 , -50000
0.01723 , -50000
0.01722 , -50000
0.01721 , -50000
0.0172 , -50000
0.01719 , -50000
0.01718 , -50000
0.01717 , -50000
0.01716 , -50000
0.01715 , -50000
0.01714 , -50000
0.01713 , -50000
0.01712 , -50000
0.01711 , -50000
0.0171 , -50000
0.01709 , -50000
0.01708 , -50000
0.01707 , -50000
0.01706 , -50000
0.01705 , -50000
0.01704 , -50000
0.01703 , -50000
0.01702 , -50000
0.01701 , -50000
0.017 , -50000
0.01699 , -50000
0.01698 , -50000
0.01697 , -50000
0.01696 , -50000
0.01695 , -50000
0.01694 , -50000
0.01693 , -50000
0.01692 , -50000
0.01691 , -50000
0.0169 , -50000
0.01689 , -50000
0.01688 , -50000
0.01687 , -50000
0.01686 , -50000
0.01685 , -50000
0.01684 , -50000
0.01683 , -50000
0.01682 , -50000
0.01681 , -50000
0.0168 , -50000
0.01679 , -50000
0.01678 , -50000
0.01677 , -50000
0.01676 , -50000
