Ar++Ar->Ar+Ar+(elastic)	
0	
102	
0	198.318
0.01	198.318
0.0114815	184.874
0.0131826	172.318
0.0151356	160.592
0.017378	149.639
0.0199526	139.41
0.0229087	129.856
0.0263027	120.934
0.0301995	112.602
0.0346737	104.824
0.0398107	97.5629
0.0457088	90.7884
0.0524807	84.4706
0.060256	78.5828
0.0691831	73.1007
0.0794328	68.0023
0.0912011	63.2681
0.104713	58.8805
0.120226	54.8244
0.138038	51.0861
0.158489	47.6543
0.18197	44.519
0.20893	41.6716
0.239883	39.1046
0.275423	36.8112
0.316228	34.7847
0.363078	33.018
0.416869	31.5032
0.47863	30.2305
0.549541	29.1877
0.630957	28.3596
0.724436	27.7272
0.831764	27.2674
0.954993	26.9529
1.09648	26.7522
1.25893	26.6307
1.44544	26.5511
1.65959	26.4754
1.90546	26.3665
2.18776	26.1902
2.51189	25.9168
2.88403	25.5234
3.31131	24.9946
3.80189	24.3234
4.36516	23.5112
5.01187	22.5672
5.7544	21.507
6.60693	20.3512
7.58578	19.1233
8.70964	17.8485
10	16.5513
11.4815	15.2549
13.1826	13.9799
15.1356	12.7437
17.378	11.5601
19.9526	10.4395
22.9087	9.38931
26.3027	8.41366
30.1995	7.51441
34.6737	6.69131
39.8107	5.94255
45.7088	5.26507
52.4807	4.65503
60.256	4.108
69.1831	3.61929
79.4328	3.18409
91.2011	2.79764
104.713	2.45534
120.226	2.15279
138.038	1.88589
158.489	1.65084
181.97	1.44412
208.93	1.26256
239.883	1.10328
275.423	0.963659
316.228	0.841388
363.078	0.734386
416.869	0.640807
478.63	0.55901
549.541	0.487548
630.957	0.425141
724.436	0.37066
831.764	0.323115
954.993	0.281634
1096.48	0.245451
1258.93	0.213898
1445.44	0.186385
1659.59	0.1624
1905.46	0.141493
2187.76	0.123271
2511.89	0.107391
2884.03	0.0935536
3311.31	0.0814961
3801.89	0.0709906
4365.16	0.0618378
5011.87	0.053864
5754.4	0.0469175
6606.93	0.0408663
7585.78	0.0355951
8709.64	0.0310034
10000	0.0270038
