z, Voltage (V), Electric Field (Newton/Coulomb)
0.00796352 , 1000 , -0
0.00795852 , 999.946 , -14337.2
0.00795352 , 999.865 , -18063.1
0.00794852 , 999.767 , -20677.3
0.00794352 , 999.659 , -22758.5
0.00793852 , 999.54 , -24515.9
0.00793352 , 999.414 , -26051.8
0.00792852 , 999.28 , -27425.5
0.00792352 , 999.14 , -28673.9
0.00791852 , 998.994 , -29821.9
0.00791352 , 998.842 , -30887.9
0.00790852 , 998.685 , -31885
0.00790352 , 998.523 , -32823.4
0.00789852 , 998.357 , -33710.8
0.00789352 , 998.186 , -34554
0.00788852 , 998.011 , -35357.9
0.00788352 , 997.832 , -36126.7
0.00787852 , 997.65 , -36864.2
0.00787352 , 997.464 , -37573.3
0.00786852 , 997.274 , -38256.5
0.00786352 , 997.081 , -38916.3
0.00785852 , 996.885 , -39554.4
0.00785352 , 996.686 , -40172.6
0.00784852 , 996.483 , -40772.2
0.00784352 , 996.278 , -41354.8
0.00783852 , 996.07 , -41921.4
0.00783352 , 995.859 , -42473
0.00782852 , 995.645 , -43010.7
0.00782352 , 995.429 , -43535.3
0.00781852 , 995.21 , -44047.5
0.00781352 , 994.988 , -44548.1
0.00780852 , 994.764 , -45037.7
0.00780352 , 994.538 , -45516.8
0.00779852 , 994.309 , -45986.1
0.00779352 , 994.078 , -46446
0.00778852 , 993.845 , -46897
0.00778352 , 993.609 , -47339.4
0.00777852 , 993.371 , -47773.7
0.00777352 , 993.131 , -48200.3
0.00776852 , 992.889 , -48619.4
0.00776352 , 992.645 , -49031.5
0.00775852 , 992.399 , -49436.7
0.00775352 , 992.151 , -49835.5
0.00774852 , 991.901 , -50227.9
0.00774352 , 991.649 , -50614.2
0.00773852 , 991.395 , -50994.8
0.00773352 , 991.139 , -51369.8
0.00772852 , 990.881 , -51739.4
0.00772352 , 990.621 , -52103.8
0.00771852 , 990.36 , -52463.1
0.00771352 , 990.097 , -52817.6
0.00770852 , 989.832 , -53167.4
0.00770352 , 989.565 , -53512.6
0.00769852 , 989.297 , -53853.5
0.00769352 , 989.026 , -54190.1
0.00768852 , 988.755 , -54522.6
0.00768352 , 988.481 , -54851
0.00767852 , 988.206 , -55175.6
0.00767352 , 987.93 , -55496.4
0.00766852 , 987.651 , -55813.5
0.00766352 , 987.371 , -56127.1
0.00765852 , 987.09 , -56437.2
0.00765352 , 986.807 , -56743.9
0.00764852 , 986.523 , -57047.3
0.00764352 , 986.237 , -57347.6
0.00763852 , 985.949 , -57644.7
0.00763352 , 985.66 , -57938.9
0.00762852 , 985.37 , -58230
0.00762352 , 985.078 , -58518.3
0.00761852 , 984.785 , -58803.7
0.00761352 , 984.49 , -59086.4
