z, Voltage (V), Electric Field (Newton/Coulomb)
0.00470164 , 2000 , 0
0.00469664 , 2000 , -904.721
0.00469164 , 1999.99 , -1809.53
0.00468664 , 1999.98 , -2714.25
0.00468164 , 1999.96 , -3619.05
0.00467664 , 1999.94 , -4523.77
0.00467164 , 1999.92 , -5428.58
0.00466664 , 1999.89 , -6333.3
0.00466164 , 1999.86 , -7238.02
0.00465664 , 1999.82 , -8142.83
0.00465164 , 1999.77 , -9047.55
0.00464664 , 1999.73 , -9952.35
0.00464164 , 1999.67 , -10857.1
0.00463664 , 1999.62 , -11761.8
0.00463164 , 1999.56 , -12666.6
0.00462664 , 1999.49 , -13571.3
0.00462164 , 1999.42 , -14476.1
0.00461664 , 1999.35 , -15380.8
0.00461164 , 1999.27 , -16285.7
0.00460664 , 1999.18 , -17190.4
0.00460164 , 1999.1 , -18095.1
0.00459664 , 1999 , -18999.9
0.00459164 , 1998.91 , -19904.6
0.00458664 , 1998.8 , -20809.4
0.00458164 , 1998.7 , -21714.2
0.00457664 , 1998.59 , -22618.9
0.00457164 , 1998.47 , -23523.7
0.00456664 , 1998.35 , -24428.4
0.00456164 , 1998.23 , -25333.2
0.00455664 , 1998.1 , -26237.9
0.00455164 , 1997.96 , -27142.7
0.00454664 , 1997.83 , -28047.5
0.00454164 , 1997.68 , -28952.2
0.00453664 , 1997.54 , -29857
0.00453164 , 1997.39 , -30761.7
0.00452664 , 1997.23 , -31666.5
0.00452164 , 1997.07 , -32571.2
0.00451664 , 1996.9 , -33475.9
0.00451164 , 1996.73 , -34380.8
0.00450664 , 1996.56 , -35285.5
0.00450164 , 1996.38 , -36190.3
0.00449664 , 1996.2 , -37095
0.00449164 , 1996.01 , -37999.8
0.00448664 , 1995.82 , -38904.5
0.00448164 , 1995.62 , -39809.2
0.00447664 , 1995.42 , -40714.1
0.00447164 , 1995.21 , -41618.8
0.00446664 , 1995 , -42523.6
0.00446164 , 1994.79 , -43428.3
0.00445664 , 1994.57 , -44333.1
0.00445164 , 1994.35 , -45237.8
0.00444664 , 1994.12 , -46142.5
0.00444164 , 1993.88 , -47047.4
0.00443664 , 1993.65 , -47952.1
0.00443164 , 1993.4 , -48856.9
0.00442664 , 1993.16 , -49761.6
0.00442164 , 1992.91 , -50666.3
0.00441664 , 1992.65 , -51571.1
0.00441164 , 1992.39 , -52475.8
0.00440664 , 1992.13 , -53380.7
0.00440164 , 1991.86 , -54285.4
0.00439664 , 1991.58 , -55190.1
0.00439164 , 1991.31 , -56094.9
0.00438664 , 1991.02 , -56999.6
0.00438164 , 1990.74 , -57904.4
0.00437664 , 1990.44 , -58809.1
0.00437164 , 1990.15 , -59714
0.00436664 , 1989.85 , -60618.7
0.00436164 , 1989.54 , -61523.4
0.00435664 , 1989.23 , -62428.2
0.00435164 , 1988.92 , -63332.9
0.00434664 , 1988.6 , -64237.7
0.00434164 , 1988.27 , -65142.5
0.00433664 , 1987.95 , -66047.3
0.00433164 , 1987.61 , -66952
0.00432664 , 1987.28 , -67856.7
0.00432164 , 1986.94 , -68761.5
0.00431664 , 1986.59 , -69666.2
0.00431164 , 1986.24 , -70571
0.00430664 , 1985.88 , -71475.8
0.00430164 , 1985.52 , -72380.5
0.00429664 , 1985.16 , -73285.3
0.00429164 , 1984.79 , -74190
0.00428664 , 1984.42 , -75094.8
0.00428164 , 1984.04 , -75999.5
0.00427664 , 1983.66 , -76904.2
0.00427164 , 1983.27 , -77809.1
0.00426664 , 1982.88 , -78713.8
0.00426164 , 1982.48 , -79618.6
0.00425664 , 1982.08 , -80523.3
0.00425164 , 1981.68 , -81428.1
0.00424664 , 1981.27 , -82332.8
0.00424164 , 1980.86 , -83237.5
0.00423664 , 1980.44 , -84142.4
0.00423164 , 1980.01 , -85047.1
0.00422664 , 1979.59 , -85951.9
0.00422164 , 1979.15 , -86856.6
0.00421664 , 1978.72 , -87761.4
0.00421164 , 1978.28 , -88666.1
0.00420664 , 1977.83 , -89570.9
0.00420164 , 1977.38 , -90475.7
0.00419664 , 1976.93 , -91380.4
0.00419164 , 1976.47 , -92285.2
0.00418664 , 1976 , -93189.9
0.00418164 , 1975.54 , -94094.7
0.00417664 , 1975.06 , -94999.4
0.00417164 , 1974.59 , -95904.1
0.00416664 , 1974.1 , -96809
0.00416164 , 1973.62 , -97713.7
0.00415664 , 1973.13 , -98618.4
0.00415164 , 1972.63 , -99523.2
0.00414664 , 1972.13 , -100428
0.00414164 , 1971.63 , -101333
0.00413664 , 1971.12 , -102237
0.00413164 , 1970.6 , -103142
0.00412664 , 1970.09 , -104047
0.00412164 , 1969.56 , -104952
0.00411664 , 1969.04 , -105857
0.00411164 , 1968.51 , -106761
0.00410664 , 1967.97 , -107666
0.00410164 , 1967.43 , -108571
0.00409664 , 1966.88 , -109476
0.00409164 , 1966.33 , -110380
0.00408664 , 1965.78 , -111285
0.00408164 , 1965.22 , -112190
0.00407664 , 1964.66 , -113095
0.00407164 , 1964.09 , -113999
0.00406664 , 1963.52 , -114904
0.00406164 , 1962.94 , -115809
0.00405664 , 1962.36 , -116714
0.00405164 , 1961.77 , -117618
0.00404664 , 1961.18 , -118523
0.00404164 , 1960.59 , -119428
0.00403664 , 1959.99 , -120333
