Time(s), z(m), vz(m/s), vp(m/s)
0,0.02,-12.0764,0
1e-10,0.02,-24.1527,0
2e-10,0.02,-36.2291,0
3e-10,0.02,-48.3055,0
4e-10,0.02,-60.3818,0
5e-10,0.02,-72.4582,0
6e-10,0.02,-84.5346,0
7e-10,0.02,-96.6109,0
8e-10,0.0199999,-108.687,0
9e-10,0.0199999,-120.764,0
1e-09,0.0199999,-132.84,0
1.1e-09,0.0199999,-144.916,0
1.2e-09,0.0199999,-156.993,0
1.3e-09,0.0199999,-169.069,0
1.4e-09,0.0199999,-181.146,0
1.5e-09,0.0199998,-193.222,0
1.6e-09,0.0199998,-205.298,0
1.7e-09,0.0199998,-217.375,0
1.8e-09,0.0199998,-229.451,0
1.9e-09,0.0199998,-241.527,0
2e-09,0.0199997,-253.604,0
2.1e-09,0.0199997,-265.68,0
2.2e-09,0.0199997,-277.756,0
2.3e-09,0.0199997,-289.833,0
2.4e-09,0.0199996,-301.909,0
2.5e-09,0.0199996,-313.986,0
2.6e-09,0.0199996,-326.062,0
2.7e-09,0.0199995,-338.138,0
2.8e-09,0.0199995,-350.215,0
2.9e-09,0.0199995,-362.291,0
3e-09,0.0199994,-374.367,0
3.1e-09,0.0199994,-386.444,0
3.2e-09,0.0199993,-398.52,0
3.3e-09,0.0199993,-410.596,0
3.4e-09,0.0199993,-422.673,0
3.5e-09,0.0199992,-434.749,0
3.6e-09,0.0199992,-446.825,0
3.7e-09,0.0199991,-458.902,0
3.8e-09,0.0199991,-470.978,0
3.9e-09,0.019999,-483.055,0
4e-09,0.019999,-495.131,0
4.1e-09,0.0199989,-507.207,0
4.2e-09,0.0199989,-519.284,0
4.3e-09,0.0199988,-531.36,0
4.4e-09,0.0199988,-543.436,0
4.5e-09,0.0199987,-555.513,0
4.6e-09,0.0199987,-567.589,0
4.7e-09,0.0199986,-579.665,0
4.8e-09,0.0199986,-591.742,0
4.9e-09,0.0199985,-603.818,0
5e-09,0.0199984,-615.894,0
5.1e-09,0.0199984,-627.971,0
5.2e-09,0.0199983,-640.047,0
5.3e-09,0.0199982,-652.123,0
5.4e-09,0.0199982,-664.2,0
5.5e-09,0.0199981,-676.276,0
